x,y,z,chlorophyll,conductivity,depth,dissolved_oxygen(% Sat),dissolved_oxygen(mg/L),ammonia_nitrogen,salinity,algal_protein,total_dissolved_solids,turbidity,temperature,PH,longitude,latitude,PH(mv),gcj_lon,gcj_lat
13434873.64,3672295.245,-0.253,2.18,396.76,0.253,70.54,5.76,2.62,0.19,0.413,254.84,14.75,25.627,7.77,120.6875233,31.30402044,-125.67,120.6918182,31.30195581
13434876.81,3672294.144,-0.253,2.12,403.31,0.253,70.59,5.76,2.62,0.19,0.433,259.05,16.77,25.627,7.77,120.6875518,31.30401199,-125.7,120.6918467,31.30194741
13434879.99,3672292.99,-0.253,2.08,398.9,0.253,70.67,5.77,2.62,0.19,0.443,256.22,12.01,25.628,7.77,120.6875804,31.30400313,-125.75,120.6918754,31.3019386
13434883.14,3672291.802,-0.253,2.14,397.27,0.253,70.75,5.77,2.62,0.19,0.453,255.16,13.3,25.628,7.77,120.6876087,31.30399401,-125.81,120.6919037,31.30192953
13434886.29,3672290.612,-0.253,2.16,396.68,0.253,70.8,5.78,2.62,0.19,0.483,254.78,12.98,25.629,7.77,120.687637,31.30398488,-125.86,120.6919321,31.30192044
13434889.51,3672289.472,-0.253,2.13,395.66,0.253,70.83,5.78,2.62,0.19,0.483,254.13,12.69,25.629,7.78,120.6876659,31.30397613,-125.92,120.691961,31.30191174
13434892.71,3672288.39,-0.253,2.17,394.85,0.253,70.87,5.78,2.62,0.19,0.483,253.61,12.58,25.629,7.78,120.6876946,31.30396782,-125.96,120.6919898,31.30190348
13434897.36,3672286.644,-0.253,2.17,395.67,0.253,70.91,5.79,2.62,0.19,0.463,254.13,13.13,25.629,7.78,120.6877364,31.30395442,-126.01,120.6920317,31.30189015
13434900.48,3672285.371,-0.253,2.1,395.43,0.253,70.93,5.79,2.62,0.19,0.473,253.98,13.12,25.629,7.78,120.6877644,31.30394465,-126.07,120.6920597,31.30188043
13434902.03,3672284.739,-0.253,2.04,396.48,0.253,70.95,5.79,2.62,0.19,0.493,254.65,13.03,25.63,7.78,120.6877784,31.3039398,-126.12,120.6920738,31.3018756
13434906.82,3672283.112,-0.253,2.05,397.26,0.253,70.98,5.79,2.62,0.19,0.473,255.15,12.55,25.63,7.78,120.6878214,31.30392731,-126.16,120.6921169,31.30186319
13434909.99,3672281.974,-0.253,2.05,398.96,0.253,71.04,5.8,2.62,0.19,0.463,256.24,12.43,25.63,7.78,120.6878499,31.30391858,-126.2,120.6921454,31.3018545
13434913.08,3672280.703,-0.253,2.07,398.44,0.253,71.11,5.8,2.62,0.19,0.453,255.9,12.46,25.631,7.78,120.6878776,31.30390882,-126.24,120.6921732,31.30184479
13434916.19,3672279.469,-0.253,2.03,399.1,0.253,71.16,5.81,2.62,0.19,0.433,256.32,12.75,25.632,7.78,120.6879056,31.30389935,-126.28,120.6922012,31.30183537
13434919.4,3672278.309,-0.253,2.05,398.87,0.253,71.22,5.81,2.62,0.19,0.423,256.17,12.83,25.632,7.78,120.6879344,31.30389045,-126.3,120.6922301,31.30182652
13434921.01,3672277.732,-0.253,2.04,398.75,0.253,71.26,5.81,2.62,0.19,0.433,256.09,12.66,25.633,7.78,120.6879489,31.30388602,-126.34,120.6922446,31.30182211
13434925.76,3672275.907,-0.253,2.1,396.71,0.253,71.31,5.82,2.61,0.19,0.463,254.78,12.7,25.633,7.78,120.6879915,31.30387201,-126.38,120.6922873,31.30180817
13434928.85,3672274.605,-0.253,2.15,395.61,0.253,71.37,5.82,2.61,0.19,0.463,254.07,12.89,25.634,7.78,120.6880193,31.30386202,-126.42,120.6923151,31.30179823
13434931.94,3672273.296,-0.253,2.15,395.34,0.253,71.41,5.83,2.61,0.19,0.433,253.9,13.21,25.634,7.78,120.688047,31.30385197,-126.46,120.6923429,31.30178823
13434935.03,3672271.985,-0.253,2.16,398.57,0.253,71.45,5.83,2.61,0.19,0.433,255.97,13.41,25.635,7.79,120.6880748,31.30384191,-126.49,120.6923708,31.30177821
13434938.18,3672270.744,-0.253,2.14,400.49,0.253,71.49,5.83,2.61,0.19,0.443,257.2,13.5,25.635,7.79,120.6881031,31.30383238,-126.52,120.6923991,31.30176873
13434941.33,3672269.57,-0.253,2.22,398.94,0.253,71.51,5.84,2.61,0.19,0.433,256.2,13.46,25.636,7.79,120.6881314,31.30382337,-126.54,120.6924275,31.30175977
13434944.37,3672268.26,-0.253,2.15,398.71,0.253,71.5,5.83,2.61,0.19,0.443,256.05,12.91,25.636,7.79,120.6881587,31.30381332,-126.56,120.6924548,31.30174976
13434947.4,3672266.806,-0.253,2.07,399.83,0.253,71.48,5.83,2.61,0.19,0.453,256.76,12.76,25.637,7.79,120.6881859,31.30380216,-126.57,120.6924821,31.30173865
13434950.48,3672265.567,-0.253,2.03,398.69,0.253,71.45,5.83,2.61,0.19,0.463,256.03,12.85,25.637,7.79,120.6882136,31.30379265,-126.58,120.6925098,31.30172919
13434953.56,3672264.455,-0.253,2.05,396.68,0.253,71.42,5.83,2.61,0.19,0.453,254.74,12.83,25.638,7.79,120.6882413,31.30378411,-126.58,120.6925376,31.30172069
13434956.49,3672263.058,-0.253,2.01,395.41,0.253,71.38,5.82,2.61,0.19,0.463,253.92,13.15,25.638,7.79,120.6882676,31.30377339,-126.59,120.6925639,31.30171002
13434959.45,3672261.654,-0.253,2.12,394.19,0.253,71.33,5.82,2.61,0.19,0.483,253.14,12.61,25.639,7.79,120.6882942,31.30376261,-126.58,120.6925906,31.30169928
13434962.59,3672260.516,-0.253,2.29,392.55,0.253,71.3,5.82,2.61,0.18,0.503,252.08,12.53,25.639,7.79,120.6883224,31.30375388,-126.56,120.6926188,31.3016906
13434965.68,3672259.37,-0.253,2.35,390.79,0.253,71.29,5.82,2.61,0.18,0.503,250.95,12.53,25.639,7.79,120.6883501,31.30374508,-126.54,120.6926466,31.30168184
13434968.67,3672257.99,-0.253,2.35,389.18,0.253,71.28,5.82,2.61,0.18,0.513,249.91,12.54,25.64,7.79,120.688377,31.30373449,-126.53,120.6926735,31.3016713
13434971.69,3672256.55,-0.253,2.4,389.18,0.253,71.26,5.81,2.61,0.18,0.493,249.91,12.36,25.64,7.79,120.6884041,31.30372344,-126.52,120.6927007,31.30166029
13434974.77,3672255.255,-0.253,2.31,390.79,0.253,71.23,5.81,2.61,0.18,0.483,250.94,11.8,25.64,7.79,120.6884318,31.3037135,-126.5,120.6927284,31.3016504
13434977.8,3672254.024,-0.253,2.16,393.31,0.253,71.24,5.81,2.61,0.18,0.473,252.56,11.81,25.64,7.79,120.688459,31.30370405,-126.5,120.6927557,31.301641
13434980.78,3672252.721,-0.253,2.1,400.85,0.253,71.26,5.81,2.61,0.19,0.463,257.4,11.94,25.641,7.79,120.6884858,31.30369405,-126.5,120.6927826,31.30163104
13434983.78,3672251.263,-0.253,1.94,400.59,0.253,71.25,5.81,2.61,0.19,0.443,257.23,12.4,25.641,7.79,120.6885127,31.30368286,-126.49,120.6928095,31.30161989
13434986.8,3672249.874,-0.253,1.85,401,0.253,71.22,5.81,2.61,0.19,0.443,257.5,12.38,25.641,7.79,120.6885399,31.3036722,-126.47,120.6928368,31.30160928
13434989.75,3672248.465,-0.253,1.87,398.02,0.253,71.19,5.81,2.6,0.19,0.443,255.58,12.59,25.641,7.78,120.6885664,31.30366138,-126.46,120.6928633,31.3015985
13434992.74,3672247,-0.253,1.93,396.83,0.253,71.19,5.81,2.6,0.19,0.433,254.82,12.54,25.641,7.78,120.6885932,31.30365014,-126.44,120.6928902,31.30158731
13434995.75,3672245.609,-0.253,1.95,396.27,0.253,71.15,5.81,2.6,0.19,0.433,254.46,12.5,25.641,7.78,120.6886203,31.30363946,-126.43,120.6929173,31.30157667
13434998.72,3672244.186,-0.254,2.07,396.8,0.254,71.08,5.8,2.6,0.19,0.433,254.8,12.47,25.642,7.78,120.6886469,31.30362854,-126.4,120.692944,31.3015658
13435001.64,3672242.641,-0.253,2.12,396.02,0.253,71.01,5.79,2.6,0.19,0.453,254.3,12.49,25.641,7.78,120.6886732,31.30361668,-126.36,120.6929703,31.30155398
13435004.56,3672241.059,-0.253,2.12,395.99,0.253,70.95,5.79,2.6,0.19,0.463,254.28,11.63,25.641,7.78,120.6886994,31.30360454,-126.31,120.6929966,31.30154188
13435007.52,3672239.511,-0.254,2.07,396.59,0.254,70.93,5.79,2.6,0.19,0.443,254.66,11.82,25.641,7.78,120.688726,31.30359266,-126.28,120.6930232,31.30153004
13435010.49,3672237.925,-0.254,2.02,397.52,0.254,70.9,5.78,2.6,0.19,0.463,255.26,11.67,25.641,7.78,120.6887527,31.30358048,-126.25,120.69305,31.30151791
13435013.45,3672236.331,-0.254,2.02,398.11,0.254,70.87,5.78,2.6,0.19,0.463,255.64,11.59,25.641,7.78,120.6887793,31.30356825,-126.21,120.6930766,31.30150572
13435016.42,3672234.795,-0.253,2.07,399.44,0.253,70.87,5.78,2.6,0.19,0.443,256.49,11.88,25.641,7.78,120.6888059,31.30355646,-126.18,120.6931033,31.30149397
13435019.37,3672233.284,-0.253,2.05,399.69,0.253,70.89,5.78,2.6,0.19,0.443,256.66,12.19,25.641,7.78,120.6888324,31.30354486,-126.16,120.6931298,31.30148242
13435022.23,3672231.62,-0.253,2.07,400.28,0.253,70.92,5.79,2.6,0.19,0.443,257.03,12.03,25.642,7.78,120.6888581,31.30353209,-126.15,120.6931556,31.30146969
13435025.04,3672229.878,-0.253,2.13,400.13,0.253,70.92,5.79,2.6,0.19,0.443,256.94,12.43,25.642,7.78,120.6888834,31.30351872,-126.13,120.6931809,31.30145636
13435027.93,3672228.209,-0.253,2.14,401.16,0.253,70.89,5.78,2.6,0.19,0.433,257.6,12.42,25.642,7.78,120.6889093,31.30350591,-126.11,120.6932069,31.30144359
13435030.85,3672226.629,-0.253,2.07,401.01,0.253,70.86,5.78,2.6,0.19,0.413,257.5,12.51,25.642,7.78,120.6889356,31.30349378,-126.1,120.6932332,31.3014315
13435033.67,3672224.917,-0.253,2.07,400.09,0.253,70.83,5.78,2.6,0.19,0.403,256.91,12.57,25.642,7.78,120.6889609,31.30348064,-126.09,120.6932586,31.3014184
13435036.39,3672223.055,-0.253,2.05,399.26,0.253,70.78,5.77,2.6,0.19,0.403,256.38,12.45,25.642,7.78,120.6889853,31.30346635,-126.09,120.693283,31.30140415
13435039.21,3672221.307,-0.253,2.09,397.71,0.253,70.74,5.77,2.6,0.19,0.393,255.38,12.24,25.642,7.78,120.6890107,31.30345293,-126.08,120.6933085,31.30139077
13435042.11,3672219.644,-0.253,2.09,397.24,0.253,70.69,5.77,2.6,0.19,0.393,255.07,12.21,25.643,7.78,120.6890367,31.30344017,-126.07,120.6933345,31.30137806
13435044.96,3672217.881,-0.253,2.11,385.45,0.253,70.67,5.77,2.6,0.18,0.393,247.51,12.28,25.643,7.78,120.6890623,31.30342664,-126.05,120.6933602,31.30136457
13435047.77,3672216.072,-0.253,2.13,405.09,0.253,70.65,5.76,2.6,0.19,0.383,260.11,12.05,25.643,7.78,120.6890876,31.30341275,-126.02,120.6933855,31.30135072
13435050.62,3672214.243,-0.253,2.15,388.13,0.253,70.62,5.76,2.6,0.18,0.383,249.22,12.08,25.644,7.78,120.6891132,31.30339871,-125.99,120.6934112,31.30133672
13435053.38,3672212.417,-0.253,2.13,395.25,0.253,70.6,5.76,2.6,0.19,0.373,253.79,11.8,25.644,7.78,120.689138,31.3033847,-125.96,120.693436,31.30132275
13435056.03,3672210.416,-0.253,2.1,390.32,0.253,70.6,5.76,2.6,0.18,0.393,250.62,12.02,25.645,7.78,120.6891618,31.30336934,-125.94,120.6934599,31.30130742
13435058.73,3672208.406,-0.253,2.14,390.49,0.253,70.6,5.76,2.6,0.18,0.413,250.73,11.98,25.646,7.78,120.689186,31.30335391,-125.92,120.6934841,31.30129203
13435061.47,3672206.462,-0.253,2.13,395.61,0.253,70.62,5.76,2.6,0.19,0.403,254.01,11.99,25.646,7.78,120.6892106,31.30333899,-125.92,120.6935088,31.30127715
13435064.16,3672204.5,-0.253,2.15,402.69,0.253,70.65,5.76,2.6,0.19,0.413,258.56,12.18,25.647,7.78,120.6892348,31.30332393,-125.91,120.693533,31.30126213
13435066.7,3672202.364,-0.253,2.1,403.3,0.253,70.66,5.76,2.6,0.19,0.393,258.91,11.81,25.648,7.78,120.6892576,31.30330754,-125.9,120.6935558,31.30124577
13435069.19,3672200.143,-0.253,2.13,402.19,0.253,70.69,5.77,2.6,0.19,0.393,258.23,11.93,25.648,7.78,120.68928,31.30329049,-125.9,120.6935783,31.30122875
13435071.72,3672197.963,-0.253,2.09,401.48,0.253,70.7,5.77,2.6,0.19,0.393,257.77,12.06,25.649,7.77,120.6893027,31.30327376,-125.89,120.693601,31.30121206
13435074.13,3672195.775,-0.253,1.98,400.75,0.253,70.67,5.77,2.6,0.19,0.393,257.3,12.19,25.649,7.77,120.6893244,31.30325696,-125.88,120.6936228,31.30119529
13435076.28,3672193.325,-0.253,1.99,399.33,0.253,70.64,5.76,2.6,0.19,0.383,256.39,11.77,25.649,7.77,120.6893437,31.30323816,-125.87,120.6936421,31.30117652
13435078.18,3672190.725,-0.253,2.01,398.91,0.253,70.59,5.76,2.6,0.19,0.383,256.11,11.93,25.65,7.77,120.6893607,31.3032182,-125.85,120.6936591,31.30115658
13435080.36,3672188.47,-0.253,2.01,398.37,0.253,70.55,5.75,2.6,0.19,0.373,255.77,12.13,25.65,7.77,120.6893803,31.30320089,-125.83,120.6936788,31.3011393
13435082.95,3672186.55,-0.253,2.03,397.63,0.253,70.51,5.75,2.6,0.19,0.383,255.29,12.76,25.65,7.77,120.6894036,31.30318616,-125.8,120.6937021,31.30112461
13435085.51,3672184.566,-0.253,2.06,397.96,0.253,70.46,5.75,2.6,0.19,0.353,255.5,12.73,25.65,7.77,120.6894266,31.30317093,-125.78,120.6937252,31.30110941
13435087.98,3672182.397,-0.253,2.14,396.59,0.253,70.38,5.74,2.6,0.19,0.343,254.62,12.54,25.65,7.77,120.6894488,31.30315428,-125.73,120.6937474,31.3010928
13435090.43,3672180.16,-0.253,2.22,397.71,0.253,70.28,5.73,2.6,0.19,0.333,255.34,12.23,25.65,7.77,120.6894708,31.30313711,-125.67,120.6937695,31.30107566
13435092.95,3672177.941,-0.253,2.18,398.84,0.253,70.17,5.72,2.6,0.19,0.363,256.06,12.32,25.651,7.77,120.6894934,31.30312008,-125.6,120.6937921,31.30105866
13435095.51,3672175.759,-0.253,2.19,399.01,0.253,70.04,5.71,2.6,0.19,0.353,256.17,12.11,25.651,7.77,120.6895164,31.30310333,-125.52,120.6938151,31.30104195
13435097.99,3672173.493,-0.253,2.09,399.43,0.253,69.88,5.7,2.6,0.19,0.343,256.44,11.96,25.651,7.77,120.6895387,31.30308594,-125.44,120.6938375,31.30102459
13435100.42,3672171.198,-0.253,2.08,399.7,0.253,69.72,5.69,2.6,0.19,0.343,256.61,11.19,25.652,7.77,120.6895605,31.30306832,-125.36,120.6938593,31.301007
13435102.87,3672168.905,-0.253,2.02,399.94,0.253,69.57,5.67,2.6,0.19,0.343,256.76,10.93,25.652,7.76,120.6895825,31.30305072,-125.27,120.6938814,31.30098943
13435105.32,3672166.578,-0.253,2.04,400.53,0.253,69.46,5.67,2.6,0.19,0.333,257.14,11.13,25.652,7.76,120.6896045,31.30303286,-125.18,120.6939034,31.30097161
13435107.75,3672164.229,-0.253,2.12,398.65,0.253,69.35,5.66,2.6,0.19,0.343,255.94,11.37,25.652,7.76,120.6896264,31.30301483,-125.09,120.6939253,31.30095361
13435110.19,3672161.91,-0.253,2.13,397.28,0.253,69.26,5.65,2.6,0.19,0.353,255.05,11.49,25.652,7.76,120.6896483,31.30299703,-124.99,120.6939473,31.30093584
13435112.65,3672159.613,-0.253,2.15,397.48,0.253,69.19,5.64,2.6,0.19,0.353,255.18,11.34,25.653,7.76,120.6896704,31.3029794,-124.89,120.6939694,31.30091824
13435115.13,3672157.335,-0.253,2.14,397.5,0.253,69.14,5.64,2.61,0.19,0.353,255.19,11.22,25.653,7.76,120.6896927,31.30296192,-124.79,120.6939918,31.3009008
13435117.57,3672155.023,-0.253,2.09,398.03,0.253,69.09,5.64,2.61,0.19,0.353,255.53,11.28,25.653,7.75,120.6897146,31.30294417,-124.71,120.6940137,31.30088308
13435120.03,3672152.712,-0.253,2.03,398.49,0.253,69.07,5.63,2.61,0.19,0.363,255.82,11.31,25.654,7.75,120.6897367,31.30292643,-124.65,120.6940359,31.30086537
13435122.46,3672150.376,-0.253,2.02,398.7,0.253,69.07,5.63,2.61,0.19,0.353,255.95,11.22,25.654,7.75,120.6897585,31.3029085,-124.6,120.6940577,31.30084747
13435124.9,3672148.05,-0.253,2.02,400.84,0.253,69.08,5.63,2.61,0.19,0.353,257.33,10.63,25.655,7.75,120.6897804,31.30289065,-124.55,120.6940796,31.30082966
13435127.31,3672145.737,-0.253,2.04,402.08,0.253,69.11,5.64,2.61,0.19,0.343,258.12,10.51,25.656,7.75,120.6898021,31.3028729,-124.53,120.6941014,31.30081194
13435129.68,3672143.366,-0.254,2.07,402.1,0.254,69.17,5.64,2.61,0.19,0.353,258.12,10.81,25.658,7.75,120.6898234,31.3028547,-124.51,120.6941227,31.30079377
13435132.02,3672140.913,-0.254,2.14,402.69,0.254,69.23,5.65,2.61,0.19,0.343,258.49,11.23,25.66,7.75,120.6898444,31.30283587,-124.5,120.6941438,31.30077497
13435134.31,3672138.454,-0.254,2.11,402.28,0.254,69.29,5.65,2.61,0.19,0.343,258.22,11.21,25.662,7.75,120.689865,31.302817,-124.5,120.6941644,31.30075613
13435136.66,3672135.987,-0.254,2.15,402.36,0.254,69.36,5.66,2.61,0.19,0.343,258.26,11.13,25.664,7.75,120.6898861,31.30279806,-124.5,120.6941855,31.30073722
13435138.92,3672133.545,-0.254,2.26,401.53,0.254,69.42,5.66,2.6,0.19,0.333,257.72,11.4,25.666,7.75,120.6899064,31.30277932,-124.51,120.6942059,31.30071851
13435141.08,3672130.949,-0.254,2.26,401.27,0.254,69.47,5.67,2.61,0.19,0.343,257.54,11.61,25.668,7.75,120.6899258,31.30275939,-124.53,120.6942253,31.30069861
13435143.22,3672128.354,-0.254,2.32,401.41,0.254,69.51,5.67,2.61,0.19,0.343,257.62,11.63,25.669,7.75,120.689945,31.30273947,-124.55,120.6942446,31.30067871
13435145.4,3672125.758,-0.254,2.38,402.33,0.254,69.54,5.67,2.61,0.19,0.343,258.21,11.42,25.671,7.75,120.6899646,31.30271955,-124.57,120.6942642,31.30065882
13435147.56,3672123.183,-0.254,2.4,403.2,0.254,69.55,5.67,2.61,0.19,0.363,258.75,11.58,25.672,7.75,120.689984,31.30269978,-124.58,120.6942836,31.30063908
13435149.65,3672120.548,-0.254,2.32,403.46,0.254,69.57,5.67,2.61,0.19,0.343,258.92,10.81,25.674,7.75,120.6900028,31.30267956,-124.6,120.6943025,31.30061888
13435151.58,3672117.841,-0.254,2.26,402.62,0.254,69.6,5.68,2.61,0.19,0.343,258.38,10.78,25.675,7.75,120.6900201,31.30265878,-124.62,120.6943198,31.30059813
13435153.43,3672115.018,-0.254,2.24,402.46,0.254,69.63,5.68,2.61,0.19,0.353,258.27,10.85,25.676,7.75,120.6900367,31.30263711,-124.64,120.6943364,31.30057648
13435155.29,3672112.211,-0.254,2.18,398.96,0.254,69.67,5.68,2.61,0.19,0.353,256.02,10.54,25.677,7.75,120.6900534,31.30261557,-124.66,120.6943532,31.30055496
13435156.83,3672109.38,-0.254,2.1,404.1,0.254,69.69,5.68,2.61,0.19,0.343,259.31,10.42,25.678,7.75,120.6900673,31.30259384,-124.68,120.6943671,31.30053324
13435157.81,3672106.513,-0.254,2.07,388.32,0.254,69.73,5.69,2.6,0.18,0.323,249.18,10.43,25.679,7.75,120.6900761,31.30257183,-124.71,120.6943759,31.30051124
13435157.28,3672104.083,-0.254,2.06,401.71,0.254,69.75,5.69,2.6,0.19,0.313,257.77,10.28,25.68,7.75,120.6900713,31.30255318,-124.74,120.6943711,31.30049258
13435155.05,3672102.166,-0.254,2.07,403.06,0.254,69.76,5.69,2.6,0.19,0.303,258.63,10.18,25.681,7.76,120.6900513,31.30253847,-124.76,120.694351,31.30047782
13435152.92,3672099.944,-0.254,2.16,401.19,0.254,69.77,5.69,2.6,0.19,0.313,257.42,10.22,25.682,7.76,120.6900321,31.30252141,-124.78,120.6943318,31.30046072
13435151.29,3672097.156,-0.254,2.17,401.52,0.254,69.78,5.69,2.6,0.19,0.313,257.63,10.13,25.684,7.76,120.6900175,31.30250001,-124.79,120.6943172,31.30043929
13435149.66,3672094.349,-0.254,2.21,401.39,0.254,69.78,5.69,2.6,0.19,0.343,257.54,10.03,25.684,7.76,120.6900029,31.30247847,-124.8,120.6943025,31.30041771
